source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
cofid,18-007,"Beef, braising steak, raw, lean and fat",en,,Calculated from 92% lean and 7% fat MAC,100,g,0,20.7,8.6,160,cofid-2021
cofid,18-008,"Beef, braising steak, braised, lean only",en,,10 samples MAC,100,g,0,34.4,9.7,225,cofid-2021
cofid,18-009,"Beef, braising steak, braised, lean and fat",en,,Calculated from 90% lean and 9% fat MAC,100,g,0,32.9,12.7,246,cofid-2021
cofid,18-010,"Beef, braising steak, slow cooked, lean",en,,10 samples MAC,100,g,0,31.4,7.9,197,cofid-2021
cofid,18-011,"Beef, braising steak, slow cooked, lean and fat",en,,Calculated from 88% lean and 10% fat MAC,100,g,0,29,11.2,217,cofid-2021
cofid,18-012,"Beef, brisket, raw, lean",en,,10 samples MAC,100,g,0,21.1,6.1,139,cofid-2021
cofid,18-013,"Beef, brisket, raw, lean and fat",en,,Calculated from 79% lean and 19% fat MAC,100,g,0,18.4,16,218,cofid-2021
cofid,18-014,"Beef, brisket, boiled, lean",en,,10 samples MAC,100,g,0,31.4,11,225,cofid-2021
cofid,18-015,"Beef, brisket, boiled, lean and fat",en,,Calculated from 82% lean and 15% fat MAC,100,g,0,27.8,17.4,268,cofid-2021
cofid,18-016,"Beef, fillet steak, raw, lean",en,,17 samples MAC,100,g,0,21.2,6.1,140,cofid-2021
cofid,18-017,"Beef, fillet steak, raw, lean and fat",en,,Calculated from 94% lean and 6% fat MAC,100,g,0,20.9,7.9,155,cofid-2021
cofid,18-018,"Beef, fillet steak, fried in corn oil, lean",en,,16 samples MAC,100,g,0,28.2,7.9,184,cofid-2021
cofid,18-019,"Beef, fillet steak, fried in corn oil, lean and fat",en,,Calculated from 96% lean and 4% fat MAC,100,g,0,28,8.9,192,cofid-2021
cofid,18-020,"Beef, fillet steak, grilled, lean",en,,20 samples MAC,100,g,0,29.1,8,188,cofid-2021
